Fecha_filtro,Marea_filtro,,
03/05/2021 12:30,1.54,03/05/2021 0:00,12:30:00
03/05/2021 13:00,1.278,03/05/2021 0:00,13:00:00
03/05/2021 13:30,1.06,03/05/2021 0:00,13:30:00
03/05/2021 14:00,0.899,03/05/2021 0:00,14:00:00
03/05/2021 14:30,0.805,03/05/2021 0:00,14:30:00
03/05/2021 15:00,0.782,03/05/2021 0:00,15:00:00
03/05/2021 15:30,0.831,03/05/2021 0:00,15:30:00
03/05/2021 16:00,0.948,03/05/2021 0:00,16:00:00
03/05/2021 16:30,1.124,03/05/2021 0:00,16:30:00
03/05/2021 17:00,1.349,03/05/2021 0:00,17:00:00
03/05/2021 17:30,1.608,03/05/2021 0:00,17:30:00
03/05/2021 18:00,1.884,03/05/2021 0:00,18:00:00
03/05/2021 18:30,2.161,03/05/2021 0:00,18:30:00
03/05/2021 19:00,2.419,03/05/2021 0:00,19:00:00
03/05/2021 19:30,2.643,03/05/2021 0:00,19:30:00
03/05/2021 20:00,2.817,03/05/2021 0:00,20:00:00
03/05/2021 20:30,2.93,03/05/2021 0:00,20:30:00
03/05/2021 21:00,2.976,03/05/2021 0:00,21:00:00
03/05/2021 21:30,2.951,03/05/2021 0:00,21:30:00
03/05/2021 22:00,2.855,03/05/2021 0:00,22:00:00
03/05/2021 22:30,2.694,03/05/2021 0:00,22:30:00
03/05/2021 23:00,2.478,03/05/2021 0:00,23:00:00
03/05/2021 23:30,2.222,03/05/2021 0:00,23:30:00
04/05/2021 0:00,1.941,04/05/2021 0:00,0:00:00
04/05/2021 0:30,1.655,04/05/2021 0:00,0:30:00
04/05/2021 1:00,1.38,04/05/2021 0:00,1:00:00
04/05/2021 1:30,1.132,04/05/2021 0:00,1:30:00
04/05/2021 2:00,0.926,04/05/2021 0:00,2:00:00
04/05/2021 2:30,0.773,04/05/2021 0:00,2:30:00
04/05/2021 3:00,0.683,04/05/2021 0:00,3:00:00
04/05/2021 3:30,0.662,04/05/2021 0:00,3:30:00
04/05/2021 4:00,0.71,04/05/2021 0:00,4:00:00
04/05/2021 4:30,0.825,04/05/2021 0:00,4:30:00
04/05/2021 5:00,1,04/05/2021 0:00,5:00:00
04/05/2021 5:30,1.224,04/05/2021 0:00,5:30:00
04/05/2021 6:00,1.483,04/05/2021 0:00,6:00:00
04/05/2021 6:30,1.763,04/05/2021 0:00,6:30:00
04/05/2021 7:00,2.046,04/05/2021 0:00,7:00:00
04/05/2021 7:30,2.317,04/05/2021 0:00,7:30:00
04/05/2021 8:00,2.559,04/05/2021 0:00,8:00:00
04/05/2021 8:30,2.757,04/05/2021 0:00,8:30:00
04/05/2021 9:00,2.899,04/05/2021 0:00,9:00:00
04/05/2021 9:30,2.978,04/05/2021 0:00,9:30:00
04/05/2021 10:00,2.989,04/05/2021 0:00,10:00:00
04/05/2021 10:30,2.932,04/05/2021 0:00,10:30:00
04/05/2021 11:00,2.812,04/05/2021 0:00,11:00:00
04/05/2021 11:30,2.635,04/05/2021 0:00,11:30:00
04/05/2021 12:00,2.415,04/05/2021 0:00,12:00:00
04/05/2021 12:30,2.165,04/05/2021 0:00,12:30:00
04/05/2021 13:00,1.904,04/05/2021 0:00,13:00:00
04/05/2021 13:30,1.646,04/05/2021 0:00,13:30:00
04/05/2021 14:00,1.41,04/05/2021 0:00,14:00:00
04/05/2021 14:30,1.209,04/05/2021 0:00,14:30:00
04/05/2021 15:00,1.055,04/05/2021 0:00,15:00:00
04/05/2021 15:30,0.957,04/05/2021 0:00,15:30:00
04/05/2021 16:00,0.92,04/05/2021 0:00,16:00:00
04/05/2021 16:30,0.945,04/05/2021 0:00,16:30:00
04/05/2021 17:00,1.03,04/05/2021 0:00,17:00:00
04/05/2021 17:30,1.168,04/05/2021 0:00,17:30:00
04/05/2021 18:00,1.351,04/05/2021 0:00,18:00:00
04/05/2021 18:30,1.566,04/05/2021 0:00,18:30:00
04/05/2021 19:00,1.801,04/05/2021 0:00,19:00:00
04/05/2021 19:30,2.04,04/05/2021 0:00,19:30:00
04/05/2021 20:00,2.268,04/05/2021 0:00,20:00:00
04/05/2021 20:30,2.47,04/05/2021 0:00,20:30:00
04/05/2021 21:00,2.633,04/05/2021 0:00,21:00:00
04/05/2021 21:30,2.747,04/05/2021 0:00,21:30:00
04/05/2021 22:00,2.806,04/05/2021 0:00,22:00:00
04/05/2021 22:30,2.804,04/05/2021 0:00,22:30:00
04/05/2021 23:00,2.74,04/05/2021 0:00,23:00:00
04/05/2021 23:30,2.618,04/05/2021 0:00,23:30:00
05/05/2021 0:00,2.445,05/05/2021 0:00,0:00:00
05/05/2021 0:30,2.233,05/05/2021 0:00,0:30:00
05/05/2021 1:00,1.996,05/05/2021 0:00,1:00:00
05/05/2021 1:30,1.748,05/05/2021 0:00,1:30:00
05/05/2021 2:00,1.506,05/05/2021 0:00,2:00:00
05/05/2021 2:30,1.281,05/05/2021 0:00,2:30:00
05/05/2021 3:00,1.089,05/05/2021 0:00,3:00:00
05/05/2021 3:30,0.94,05/05/2021 0:00,3:30:00
05/05/2021 4:00,0.845,05/05/2021 0:00,4:00:00
05/05/2021 4:30,0.809,05/05/2021 0:00,4:30:00
05/05/2021 5:00,0.836,05/05/2021 0:00,5:00:00
05/05/2021 5:30,0.923,05/05/2021 0:00,5:30:00
05/05/2021 6:00,1.067,05/05/2021 0:00,6:00:00
05/05/2021 6:30,1.258,05/05/2021 0:00,6:30:00
05/05/2021 7:00,1.485,05/05/2021 0:00,7:00:00
05/05/2021 7:30,1.735,05/05/2021 0:00,7:30:00
05/05/2021 8:00,1.994,05/05/2021 0:00,8:00:00
05/05/2021 8:30,2.246,05/05/2021 0:00,8:30:00
