Fecha_filtro	Marea_filtro
01/05/2021 11:00:00	1.071
01/05/2021 11:10:00	0.965
01/05/2021 11:20:00	0.866
01/05/2021 11:30:00	0.775
01/05/2021 11:40:00	0.693
01/05/2021 11:50:00	0.619
01/05/2021 12:00:00	0.555
01/05/2021 12:10:00	0.501
01/05/2021 12:20:00	0.457
01/05/2021 12:30:00	0.423
01/05/2021 12:40:00	0.401
01/05/2021 12:50:00	0.389
01/05/2021 13:00:00	0.388
01/05/2021 13:10:00	0.398
01/05/2021 13:20:00	0.419
01/05/2021 13:30:00	0.451
01/05/2021 13:40:00	0.493
01/05/2021 13:50:00	0.546
01/05/2021 14:00:00	0.608
01/05/2021 14:10:00	0.679
01/05/2021 14:20:00	0.759
01/05/2021 14:30:00	0.847
01/05/2021 14:40:00	0.943
01/05/2021 14:50:00	1.046
01/05/2021 15:00:00	1.156
01/05/2021 15:10:00	1.27
01/05/2021 15:20:00	1.389
01/05/2021 15:30:00	1.513
01/05/2021 15:40:00	1.639
01/05/2021 15:50:00	1.767
01/05/2021 16:00:00	1.897
01/05/2021 16:10:00	2.026
01/05/2021 16:20:00	2.156
01/05/2021 16:30:00	2.283
01/05/2021 16:40:00	2.409
01/05/2021 16:50:00	2.53
01/05/2021 17:00:00	2.648
01/05/2021 17:10:00	2.76
01/05/2021 17:20:00	2.867
01/05/2021 17:30:00	2.967
01/05/2021 17:40:00	3.059
01/05/2021 17:50:00	3.143
01/05/2021 18:00:00	3.219
01/05/2021 18:10:00	3.285
01/05/2021 18:20:00	3.341
01/05/2021 18:30:00	3.387
01/05/2021 18:40:00	3.422
01/05/2021 18:50:00	3.447
01/05/2021 19:00:00	3.46
01/05/2021 19:10:00	3.463
01/05/2021 19:20:00	3.454
01/05/2021 19:30:00	3.434
01/05/2021 19:40:00	3.402
01/05/2021 19:50:00	3.36
01/05/2021 20:00:00	3.307
01/05/2021 20:10:00	3.243
01/05/2021 20:20:00	3.17
01/05/2021 20:30:00	3.087
01/05/2021 20:40:00	2.995
01/05/2021 20:50:00	2.896
01/05/2021 21:00:00	2.788
01/05/2021 21:10:00	2.674
01/05/2021 21:20:00	2.554
01/05/2021 21:30:00	2.429
01/05/2021 21:40:00	2.3
01/05/2021 21:50:00	2.168
