"Presion","Profundidad","Temperatura","Conductividad","Conductancia","Salinidad","Vel_Sonido","Densidad","Latitud","Longitud","Fecha","Hora","Estacion","Marea","Transecto","No.Estacion"
"76",6.75,6.788298241,27.48631407,46948.48541,44724.50223,28.90236303,1533.856956,1018.011347,2.7028116,-78.3190821,"29/04/2021","11:14","S05","Baja","Sanquianga","5"
"77",7.004328844,7.043734305,27.47139461,46926.69961,44716.45928,28.89649712,1533.820968,1018.012753,2.7028116,-78.3190821,"29/04/2021","11:14","S05","Baja","Sanquianga","5"
"78",0.15,0.151437904,28.16046421,37486.6875,35258.05132,22.18831929,1528.232684,1012.745608,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"79",0.45,0.454308211,28.15041786,37454.47009,35234.40793,22.17183292,1528.197521,1012.737739,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"80",0.75,0.757163223,28.12498001,37673.41087,35457.34121,22.32719332,1528.307106,1012.863052,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"81",1.05,1.059901894,28.09026858,38953.38952,36685.99779,23.18575436,1529.132205,1013.516746,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"82",1.35,1.362487289,28.06557853,39672.1132,37380.27014,23.67271589,1529.591199,1013.889773,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"83",1.65,1.664954863,28.0401013,40475.67344,38155.72788,24.21816661,1530.109916,1014.306883,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"84",1.95,1.967321111,28.0277363,40984.62599,38644.5178,24.5627763,1530.448131,1014.56978,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"85",2.25,2.269599358,28.02536362,41637.29542,39261.67835,24.99878612,1530.905044,1014.897948,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
