Codigo,Temperatura_mean,Salinidad_mean,Densidad_mean,Profundidad_mean,Temperatura_median,Salinidad_median,Densidad_median,Profundidad_median,Temperatura_n,Salinidad_n,Densidad_n,Profundidad_n,Temperatura_sd,Salinidad_sd,Densidad_sd,Profundidad_sd,Temperatura_min,Salinidad_min,Densidad_min,Profundidad_min,Temperatura_max,Salinidad_max,Densidad_max,Profundidad_max
S01A,22.12529804878788,33.803658991582495,1023.3988322962963,44.56866932822222,20.00551759,34.7322478,1024.751903,44.60396397,297,297,297,297,4.468051526937517,1.5462005470045879,2.4874911135226365,25.735215265044527,16.94396973,25.99559096,1015.777996,0.150985104,27.80520439,35.13767581,1026.01934,88.92431481
S01B,23.316399755972697,33.691892257986346,1022.9927996143344,43.979540073440276,22.50731945,34.3214086,1023.655848,44.01308959,293,293,293,293,3.8056190553875484,1.302728719421641,2.1717614949502617,25.402497785823666,18.12256557,30.01941326,1018.67038,0.150555956,27.95894422,35.05614439,1025.66695,87.81969414
S02A,22.614620220357143,33.73243318222222,1023.1945285198412,37.82026054817064,22.10996458,34.443946115,1023.929967,37.84690782,252,252,252,252,3.935484469124175,1.52119041782052,2.318808603433946,21.846135990158206,17.87510681,28.81922073,1017.911543,0.150668308,27.76846886,35.0847313,1025.697757,75.32179292
S02B,24.643519386954733,33.23872581987654,1022.2377244773662,36.50033102555144,25.81202612,33.18903109,1021.884868,36.5223093,243,243,243,243,3.413340482720682,1.4671980199562773,2.105383440881345,21.094716370152806,18.63467205,23.88170247,1013.971227,0.151254613,28.28657341,35.02795135,1025.455768,72.90723596
S03A,23.84382490440909,33.47150602495454,1022.6171197545455,33.0356809331,24.014701340000002,33.889419965,1022.9409405,33.06264149,220,220,220,220,4.07000365015639,1.3816095729848605,2.2547283420738355,19.093234252640546,17.5820713,30.17759315,1018.902946,0.150520792,28.08285427,35.07854504,1025.724019,65.82559846
S03B,24.51196429809756,33.05613307404878,1022.1122729512196,30.80061620124878,25.57861374,33.37234409,1022.07025,30.82367973,205,205,205,205,3.540121537934364,1.8934429813544258,2.385600856178063,17.802159613773956,18.41142714,24.96526772,1015.042057,0.151094589,28.01304348,34.94557069,1025.398672,61.4267758
S04A,27.77503204897436,32.02395863935897,1020.2835617948718,11.725323091282052,27.821356535,32.37799778,1020.52311,11.728096975,78,78,78,78,0.09116692803648546,0.7431719631017614,0.5665176142967449,6.808331254899521,27.54236398,29.60022297,1018.464061,0.15058722,27.85757653,32.53387687,1020.765322,23.14872173
S04B,27.66597183097222,30.351454114027778,1019.0596820138888,10.844545026527777,27.707682990000002,31.38984996,1019.8211685,10.848109019999999,72,72,72,72,0.08357411701911804,2.2350938920177326,1.6735953717919043,6.2968700806680555,27.44981901,24.5183188,1014.708267,0.151144582,27.72813808,32.11472024,1020.405202,21.50271144
S05A,27.819999261714287,31.920741296285716,1020.1639145428571,5.259455389285715,27.85872244,32.25374706,1020.401406,5.263982925,35,35,35,35,0.1923605203647373,0.7835643856079932,0.6513693881318314,3.073941354942068,27.37139511,30.13997254,1018.71111,0.150551364,28.11364428,32.66393399,1020.887314,10.23459994
S05B,27.45874855125,27.237615304583333,1016.7586935416666,3.6208499771250002,27.468603725,28.01140981,1017.343762,3.62427455,24,24,24,24,0.05353709933621353,1.8499186171884545,1.3917456323048523,2.1295560343269697,27.38351255,23.58852226,1013.961649,0.151256055,27.61649322,28.90236303,1018.012753,7.043734305
S06A,27.941621970666667,29.060412157555557,1017.9871048,6.784303168644445,28.00672578,30.75681932,1019.236605,6.789582545,45,45,45,45,0.13052121424799135,2.933914088503407,2.240305843241009,3.951272865713682,27.7364948,22.17183292,1012.737739,0.151437904,28.16046421,31.06656205,1019.536006,13.29698791
S06B,27.478577275094338,25.079704906226414,1015.1546085283019,8.009444506490565,27.46433608,24.91544369,1015.040431,8.013882785,53,53,53,53,0.02924954682132548,1.418924556401696,1.0786111559432803,4.662095076045736,27.44820997,22.23003544,1012.960412,0.151404981,27.56872554,27.19395913,1016.757842,15.73283784
