"combinada","altura","fecha","hora","fecha_Hora"
"176","30/04/2021 5:10",3.49,"2021-04-30","5:10:00",2021-04-30 05:10:00
"177","30/04/2021 5:20",3.544,"2021-04-30","5:20:00",2021-04-30 05:20:00
"178","30/04/2021 5:30",3.585,"2021-04-30","5:30:00",2021-04-30 05:30:00
"179","30/04/2021 5:40",3.614,"2021-04-30","5:40:00",2021-04-30 05:40:00
"180","30/04/2021 5:50",3.63,"2021-04-30","5:50:00",2021-04-30 05:50:00
"181","30/04/2021 6:00",3.634,"2021-04-30","6:00:00",2021-04-30 06:00:00
"182","30/04/2021 6:10",3.624,"2021-04-30","6:10:00",2021-04-30 06:10:00
"183","30/04/2021 6:20",3.601,"2021-04-30","6:20:00",2021-04-30 06:20:00
"184","30/04/2021 6:30",3.566,"2021-04-30","6:30:00",2021-04-30 06:30:00
"185","30/04/2021 6:40",3.518,"2021-04-30","6:40:00",2021-04-30 06:40:00
"186","30/04/2021 6:50",3.458,"2021-04-30","6:50:00",2021-04-30 06:50:00
"187","30/04/2021 7:00",3.386,"2021-04-30","7:00:00",2021-04-30 07:00:00
"188","30/04/2021 7:10",3.303,"2021-04-30","7:10:00",2021-04-30 07:10:00
"189","30/04/2021 7:20",3.21,"2021-04-30","7:20:00",2021-04-30 07:20:00
"190","30/04/2021 7:30",3.107,"2021-04-30","7:30:00",2021-04-30 07:30:00
"191","30/04/2021 7:40",2.996,"2021-04-30","7:40:00",2021-04-30 07:40:00
"192","30/04/2021 7:50",2.876,"2021-04-30","7:50:00",2021-04-30 07:50:00
"193","30/04/2021 8:00",2.749,"2021-04-30","8:00:00",2021-04-30 08:00:00
"194","30/04/2021 8:10",2.616,"2021-04-30","8:10:00",2021-04-30 08:10:00
"195","30/04/2021 8:20",2.478,"2021-04-30","8:20:00",2021-04-30 08:20:00
"196","30/04/2021 8:30",2.335,"2021-04-30","8:30:00",2021-04-30 08:30:00
"197","30/04/2021 8:40",2.19,"2021-04-30","8:40:00",2021-04-30 08:40:00
"198","30/04/2021 8:50",2.044,"2021-04-30","8:50:00",2021-04-30 08:50:00
"199","30/04/2021 9:00",1.896,"2021-04-30","9:00:00",2021-04-30 09:00:00
"200","30/04/2021 9:10",1.749,"2021-04-30","9:10:00",2021-04-30 09:10:00
"201","30/04/2021 9:20",1.604,"2021-04-30","9:20:00",2021-04-30 09:20:00
"202","30/04/2021 9:30",1.461,"2021-04-30","9:30:00",2021-04-30 09:30:00
"203","30/04/2021 9:40",1.322,"2021-04-30","9:40:00",2021-04-30 09:40:00
"204","30/04/2021 9:50",1.188,"2021-04-30","9:50:00",2021-04-30 09:50:00
"205","30/04/2021 10:00",1.059,"2021-04-30","10:00:00",2021-04-30 10:00:00
"206","30/04/2021 10:10",0.937,"2021-04-30","10:10:00",2021-04-30 10:10:00
"207","30/04/2021 10:20",0.822,"2021-04-30","10:20:00",2021-04-30 10:20:00
"208","30/04/2021 10:30",0.715,"2021-04-30","10:30:00",2021-04-30 10:30:00
"209","30/04/2021 10:40",0.617,"2021-04-30","10:40:00",2021-04-30 10:40:00
"210","30/04/2021 10:50",0.529,"2021-04-30","10:50:00",2021-04-30 10:50:00
"211","30/04/2021 11:00",0.45,"2021-04-30","11:00:00",2021-04-30 11:00:00
"212","30/04/2021 11:10",0.383,"2021-04-30","11:10:00",2021-04-30 11:10:00
"213","30/04/2021 11:20",0.326,"2021-04-30","11:20:00",2021-04-30 11:20:00
"214","30/04/2021 11:30",0.281,"2021-04-30","11:30:00",2021-04-30 11:30:00
"215","30/04/2021 11:40",0.248,"2021-04-30","11:40:00",2021-04-30 11:40:00
"216","30/04/2021 11:50",0.226,"2021-04-30","11:50:00",2021-04-30 11:50:00
"217","30/04/2021 12:00",0.217,"2021-04-30","12:00:00",2021-04-30 12:00:00
"218","30/04/2021 12:10",0.22,"2021-04-30","12:10:00",2021-04-30 12:10:00
"219","30/04/2021 12:20",0.235,"2021-04-30","12:20:00",2021-04-30 12:20:00
"220","30/04/2021 12:30",0.262,"2021-04-30","12:30:00",2021-04-30 12:30:00
"221","30/04/2021 12:40",0.301,"2021-04-30","12:40:00",2021-04-30 12:40:00
"222","30/04/2021 12:50",0.352,"2021-04-30","12:50:00",2021-04-30 12:50:00
"223","30/04/2021 13:00",0.413,"2021-04-30","13:00:00",2021-04-30 13:00:00
"224","30/04/2021 13:10",0.486,"2021-04-30","13:10:00",2021-04-30 13:10:00
"225","30/04/2021 13:20",0.568,"2021-04-30","13:20:00",2021-04-30 13:20:00
"226","30/04/2021 13:30",0.66,"2021-04-30","13:30:00",2021-04-30 13:30:00
"227","30/04/2021 13:40",0.762,"2021-04-30","13:40:00",2021-04-30 13:40:00
"228","30/04/2021 13:50",0.871,"2021-04-30","13:50:00",2021-04-30 13:50:00
"229","30/04/2021 14:00",0.988,"2021-04-30","14:00:00",2021-04-30 14:00:00
"230","30/04/2021 14:10",1.112,"2021-04-30","14:10:00",2021-04-30 14:10:00
"231","30/04/2021 14:20",1.242,"2021-04-30","14:20:00",2021-04-30 14:20:00
"232","30/04/2021 14:30",1.376,"2021-04-30","14:30:00",2021-04-30 14:30:00
"233","30/04/2021 14:40",1.515,"2021-04-30","14:40:00",2021-04-30 14:40:00
"234","30/04/2021 14:50",1.657,"2021-04-30","14:50:00",2021-04-30 14:50:00
"235","30/04/2021 15:00",1.802,"2021-04-30","15:00:00",2021-04-30 15:00:00
"236","30/04/2021 15:10",1.947,"2021-04-30","15:10:00",2021-04-30 15:10:00
"237","30/04/2021 15:20",2.093,"2021-04-30","15:20:00",2021-04-30 15:20:00
"238","30/04/2021 15:30",2.237,"2021-04-30","15:30:00",2021-04-30 15:30:00
"239","30/04/2021 15:40",2.38,"2021-04-30","15:40:00",2021-04-30 15:40:00
"240","30/04/2021 15:50",2.52,"2021-04-30","15:50:00",2021-04-30 15:50:00
"241","30/04/2021 16:00",2.655,"2021-04-30","16:00:00",2021-04-30 16:00:00
"242","30/04/2021 16:10",2.786,"2021-04-30","16:10:00",2021-04-30 16:10:00
"243","30/04/2021 16:20",2.911,"2021-04-30","16:20:00",2021-04-30 16:20:00
"244","30/04/2021 16:30",3.029,"2021-04-30","16:30:00",2021-04-30 16:30:00
"245","30/04/2021 16:40",3.14,"2021-04-30","16:40:00",2021-04-30 16:40:00
"246","30/04/2021 16:50",3.242,"2021-04-30","16:50:00",2021-04-30 16:50:00
"247","30/04/2021 17:00",3.334,"2021-04-30","17:00:00",2021-04-30 17:00:00
"248","30/04/2021 17:10",3.417,"2021-04-30","17:10:00",2021-04-30 17:10:00
"249","30/04/2021 17:20",3.489,"2021-04-30","17:20:00",2021-04-30 17:20:00
"250","30/04/2021 17:30",3.551,"2021-04-30","17:30:00",2021-04-30 17:30:00
"251","30/04/2021 17:40",3.6,"2021-04-30","17:40:00",2021-04-30 17:40:00
"252","30/04/2021 17:50",3.638,"2021-04-30","17:50:00",2021-04-30 17:50:00
"253","30/04/2021 18:00",3.663,"2021-04-30","18:00:00",2021-04-30 18:00:00
"254","30/04/2021 18:10",3.677,"2021-04-30","18:10:00",2021-04-30 18:10:00
"255","30/04/2021 18:20",3.677,"2021-04-30","18:20:00",2021-04-30 18:20:00
"256","30/04/2021 18:30",3.665,"2021-04-30","18:30:00",2021-04-30 18:30:00
"257","30/04/2021 18:40",3.64,"2021-04-30","18:40:00",2021-04-30 18:40:00
"258","30/04/2021 18:50",3.603,"2021-04-30","18:50:00",2021-04-30 18:50:00
"259","30/04/2021 19:00",3.553,"2021-04-30","19:00:00",2021-04-30 19:00:00
"260","30/04/2021 19:10",3.492,"2021-04-30","19:10:00",2021-04-30 19:10:00
"261","30/04/2021 19:20",3.419,"2021-04-30","19:20:00",2021-04-30 19:20:00
"262","30/04/2021 19:30",3.334,"2021-04-30","19:30:00",2021-04-30 19:30:00
"263","30/04/2021 19:40",3.239,"2021-04-30","19:40:00",2021-04-30 19:40:00
