"","A01A","A01B","A02A","A02B","A03A","A03B","A04A","A04B","A05A","A05B","A06A","A06B","G01A","G01B","G02A","G02B","G03A","G03B","G04A","G04B","G05A","G05B","G06A","G06B","S01A","S01B","S02A","S02B","S03A","S03B","S04A","S04B","S05A","S05B","S06A","S06B"
"S01B",0.523964337660939,0.66802433587219,0.495379436964504,0.695867366783353,0.781578947368421,0.743604651162791,0.498237338629593,0.687972257322562,0.689238410596026,0.700638202102691,0.744333979954737,0.810275352585628,0.516462326538324,0.611952008792282,0.686799774234514,0.655812504719474,0.694736842105263,0.452090810913827,0.684786068546895,0.739630325814536,0.554787809105418,0.652279567897417,0.563061628746506,0.735559375826501,0.629396843291995,0,0.755600838379134,0.698235645933014,0.632668961433119,0.651410403098046,0.584410805775501,0.720710059171598,0.691784363376703,0.631859763212347,0.674989760393201,0.665470887222218
"S02A",0.695151979458615,0.522646853274826,0.714755039481808,0.447172494903475,0.37883389985036,0.815618737881955,0.63322934151207,0.619037310170753,0.568955372813444,0.78686701536061,0.661946435834572,0.856485676829587,0.744628593733541,0.50783535435513,0.471815526621722,0.698868796271732,0.599814987320809,0.712526974102332,0.912763172634173,0.34584109610309,0.714848586505173,0.466294071962244,0.539791226000467,0.181011016891631,0.280146020587181,0.755600838379134,0,0.497012215776771,0.275072354254817,0.414474998559085,0.572063344201211,0.437976273484675,0.57850099118384,0.713801754877018,0.501615381037215,0.642471426339953
"S02B",0.622979087187122,0.39312767044399,0.655840380549683,0.424832705703476,0.509090909090909,0.669688160676533,0.554974271012007,0.530558740221203,0.540066225165563,0.686453879047037,0.613809408341416,0.785644728005373,0.703228460311129,0.358903712296984,0.478242546104476,0.580593778531368,0.574305555555556,0.636479192955506,0.877697065592635,0.522839769879244,0.648914211399947,0.4714046309155,0.458429196111662,0.545432004520209,0.461879291790509,0.698235645933014,0.497012215776771,0,0.527450134253932,0.495646473092125,0.569670152855994,0.466325981710597,0.388886291812584,0.696000221696719,0.367114416745791,0.508790144051869
"S03A",0.626163720565985,0.477152116902903,0.649230530206391,0.395775585194813,0.392169404793967,0.79123777516109,0.640203142000371,0.540108717798122,0.560205754417339,0.767746478026165,0.622331152009233,0.845546312905045,0.563834133624165,0.454961558668716,0.420270038423396,0.634894978882775,0.475668073136428,0.621081810365096,0.761075949367089,0.259687985787253,0.676778562869473,0.357320171024079,0.470495734829742,0.219159774741648,0.220365428434157,0.632668961433119,0.275072354254817,0.527450134253932,0,0.297203024380377,0.388806865563895,0.370430013565359,0.487930160917521,0.537333914546672,0.430772049070615,0.532080371150333
"S03B",0.666738197608542,0.413765317483444,0.706433265925177,0.356362092492933,0.349695497995683,0.663642373804153,0.626069208683032,0.442744304141221,0.467801750869344,0.609459180264903,0.512294862603765,0.742794217236322,0.619013876530331,0.489233979855512,0.388212981310953,0.558770147262755,0.509004552211074,0.674145158978934,0.759293019629426,0.283557713263091,0.55129964652308,0.198054136912833,0.366381864686721,0.343265875009619,0.358010118282286,0.651410403098046,0.414474998559085,0.495646473092125,0.297203024380377,0,0.434671212300589,0.250980833547723,0.361568440780553,0.555547447546606,0.306926042356584,0.451256715530655
"S04A",0.622194364181484,0.468189136892775,0.654091376826508,0.522138006285217,0.590619469026549,0.786686046511628,0.666615461679746,0.442701800707105,0.561672038914611,0.731002319157102,0.621756406845031,0.843476586412452,0.409356244991899,0.47445804159908,0.399835346034307,0.552179124185828,0.409508357915438,0.651677250174909,0.707703969231918,0.471697218710493,0.64131972957922,0.419639154352506,0.458885385312163,0.480495631394045,0.501344095140226,0.584410805775501,0.572063344201211,0.569670152855994,0.388806865563895,0.434671212300589,0,0.457033369115568,0.44140701840841,0.368384295239864,0.461878421131165,0.431640428246383
"S04B",0.648885346701956,0.397646319994899,0.687339170221549,0.330843900101036,0.360999202652231,0.600410244942892,0.631503991291727,0.426547288593625,0.457852482464046,0.594491678203381,0.527817633633496,0.727535457258555,0.647557180132316,0.447995750902676,0.415726577248283,0.520318747718455,0.535326265614727,0.614487064917349,0.811112775572367,0.310762575818244,0.612465103805928,0.301733790968741,0.396517801951018,0.400776509846023,0.387587514926319,0.720710059171598,0.437976273484675,0.466325981710597,0.370430013565359,0.250980833547723,0.457033369115568,0,0.341812396567383,0.587302703038338,0.288640845185628,0.455935499510256
"S05A",0.683702323382772,0.419059129170125,0.712659738791833,0.453097115742796,0.514034606203867,0.633116647173835,0.633065387489989,0.440040622876861,0.500172527146977,0.579170583301527,0.538345951928228,0.764031474094503,0.654455412384146,0.483195468147668,0.493714273944592,0.546255382546069,0.545228905961484,0.621377991149956,0.797204080961712,0.412766416190315,0.617115375531028,0.360074650397995,0.409974809295004,0.477303525314978,0.530296924690789,0.691784363376703,0.57850099118384,0.388886291812584,0.487930160917521,0.361568440780553,0.44140701840841,0.341812396567383,0,0.510113306717111,0.209743086946847,0.349232295339132
"S05B",0.64542472734556,0.449894537213831,0.606470450748957,0.491966605397546,0.71461107162848,0.727627793550516,0.699341323710673,0.538511995385295,0.658988847627307,0.719125199463847,0.658189437134513,0.817739588790553,0.407352879274714,0.641662488777997,0.497244673665336,0.490149816514423,0.558939304364962,0.624719679194011,0.702158305384788,0.553421963866213,0.643741299951878,0.546038179191156,0.571698002956788,0.586127230580145,0.662766381812904,0.631859763212347,0.713801754877018,0.696000221696719,0.537333914546672,0.555547447546606,0.368384295239864,0.587302703038338,0.510113306717111,0,0.598335224971799,0.363586617946777
"S06A",0.674280518272929,0.420259561382648,0.726322774631811,0.387885027735355,0.458540848768996,0.653446996937643,0.643069331798036,0.430466099793342,0.470675506634497,0.57220676307785,0.522682831274785,0.714593803027558,0.690051880946742,0.49530807436948,0.444588079560372,0.585037363546588,0.569220310828953,0.64109339802639,0.844357976653696,0.381252255151497,0.639892148150206,0.303859148573285,0.452262974712745,0.453181155967564,0.459263873474324,0.674989760393201,0.501615381037215,0.367114416745791,0.430772049070615,0.306926042356584,0.461878421131165,0.288640845185628,0.209743086946847,0.598335224971799,0,0.384491670559858
"S06B",0.701910274597979,0.323028128085991,0.695141028909232,0.396911452773696,0.616991385443821,0.649500929329044,0.616295739728932,0.427571989720601,0.533607066161761,0.631197660524677,0.552179743074985,0.793765305221968,0.646093947907425,0.551982926498696,0.529230902385763,0.431810128404176,0.556195365616762,0.603023162202576,0.780560273386341,0.44522673236442,0.593466691283775,0.437834517090193,0.454496012372385,0.577339550608086,0.590865716955315,0.665470887222218,0.642471426339953,0.508790144051869,0.532080371150333,0.451256715530655,0.431640428246383,0.455935499510256,0.349232295339132,0.363586617946777,0.384491670559858,0
